name_with_owner,name,date,release_date,release_name,release_url
apache/dubbo-spring-boot-project,2.7.9,2021-03-12 13:38:40+00:00,2021-03-12 13:38:40+00:00,Dubbo Spring Boot 2.7.9,https://github.com/apache/dubbo-spring-boot-project/releases/tag/2.7.9
apache/openwhisk-client-python,,,,,
apache/zeppelin,v0.10.1-rc1,2021-11-19 14:38:04+00:00,,,
apache/avro,release-1.11.0,2021-10-20 11:19:17+00:00,2021-10-27 14:09:55+00:00,Apache Avro 1.11.0,https://github.com/apache/avro/releases/tag/release-1.11.0
apache/vxquery,apache-vxquery-0.6,2016-05-19 23:14:55+00:00,,,
apache/tajo,release-0.12.0-rc0,2019-09-11 07:16:01+00:00,,,
apache/opennlp,opennlp-1.9.4,2021-10-26 18:31:41+00:00,,,
apache/metamodel,MetaModel-5.3.3,2021-02-18 10:25:36+00:00,,,
apache/incubator-heron,0.20.5-incubating-rc1,2021-12-19 06:03:32+00:00,2021-04-28 21:08:37+00:00,0.20.4-incubating,https://github.com/apache/incubator-heron/releases/tag/0.20.4-incubating-rc1
apache/helix,helix-0.9.10,2021-12-11 07:21:19+00:00,2021-06-09 05:00:28+00:00,v1.0.2,https://github.com/apache/helix/releases/tag/helix-1.0.2
apache/cxf,cxf-3.5.0,2021-12-16 14:42:44+00:00,,,
apache/pulsar-client-go,v0.7.0,2021-10-27 18:28:23+00:00,2021-11-15 03:40:50+00:00,v0.7.0,https://github.com/apache/pulsar-client-go/releases/tag/v0.7.0
apache/flink-table-store,,,,,
apache/incubator-sedona,sedona-1.1.1-incubating-rc1,2021-11-14 06:33:48+00:00,2021-11-14 06:33:48+00:00,Apache Sedona 1.1.1-incubating,https://github.com/apache/incubator-sedona/releases/tag/sedona-1.1.1-incubating
apache/airavata-data-lake,,,,,
apache/hive,rel/storage-release-2.8.1,2021-07-29 21:42:29+00:00,,,
apache/camel-spring-boot-examples,camel-spring-boot-examples-3.15.0,2022-02-05 07:34:54+00:00,,,
apache/logging-log4cxx,v0.12.1-RC1,2021-09-22 00:16:34+00:00,,,
apache/trafficcontrol,v6.1.0,2022-02-04 23:18:37+00:00,2022-02-04 22:03:16+00:00,Apache Traffic Control 6.1.0,https://github.com/apache/trafficcontrol/releases/tag/RELEASE-6.1.0
apache/apisix-ingress-controller,1.4.0,2021-12-29 15:59:40+00:00,2021-12-29 15:59:40+00:00,Release 1.4.0,https://github.com/apache/apisix-ingress-controller/releases/tag/1.4.0
apache/mynewt-newtmgr,mynewt_1_9_0_tag,2021-03-24 14:08:52+00:00,,,
apache/mina-sshd,sshd-2.8.0,2021-11-29 14:47:39+00:00,,,
apache/incubator-kyuubi-website,,,,,
apache/incubator-doris-flink-connector,,,,,
apache/activemq-artemis,2.19.1,2022-01-26 16:37:09+00:00,,,
apache/couchdb-nano,v9.0.5,2021-09-14 08:20:26+00:00,2021-09-14 08:20:26+00:00,9.0.5,https://github.com/apache/couchdb-nano/releases/tag/v9.0.5
apache/apisix-website,,,,,
apache/dubbo-go-samples,v1.5.7,2021-09-27 08:14:46+00:00,2021-10-30 16:30:00+00:00,v1.5.7,https://github.com/apache/dubbo-go-samples/releases/tag/v1.5.7
apache/rocketmq-client-csharp,,,,,
apache/netbeans-website,,,,,
apache/pulsar-dotpulsar,2.2.0,2022-02-04 11:05:42+00:00,,,
apache/incubator-doris-connectors,,,,,
apache/jackrabbit-oak,jackrabbit-oak-1.8.26,2022-02-01 07:18:24+00:00,,,
apache/incubator-pegasus,v2.3.0,2021-11-04 01:38:44+00:00,2021-11-04 01:38:44+00:00,Apache Pegasus 2.3.0 Release Notes,https://github.com/apache/incubator-pegasus/releases/tag/v2.3.0
apache/guacamole-server,1.4.0,2021-12-25 15:18:39+00:00,,,
apache/directory-ldap-api,2.1.0,2021-06-25 17:31:44+00:00,,,
apache/poi,REL_5_2_0,2022-01-14 23:08:24+00:00,,,
apache/submarine,rel/release-0.6.0,2021-10-01 16:38:39+00:00,,,
apache/bigtop,rel/3.0.0,2021-10-14 23:48:20+00:00,,,
apache/hop,1.1.0-rc1,2022-01-17 20:09:32+00:00,,,
apache/dubbo-python2,0.0.4,2018-10-16 06:42:42+00:00,,,
apache/incubator-teaclave-sgx-sdk,v1.1.4,2021-12-09 12:21:17+00:00,2019-06-24 22:31:36+00:00,Rust SGX SDK v1.0.8 Release Notes,https://github.com/apache/incubator-teaclave-sgx-sdk/releases/tag/v1.0.8
apache/rocketmq-client-nodejs,1.0.0-rc1,2019-01-16 05:26:59+00:00,2019-01-16 05:26:59+00:00,rocketmq-client-nodejs-1.0.0-rc1,https://github.com/apache/rocketmq-client-nodejs/releases/tag/1.0.0-rc1
apache/tika,1.28.1,2022-02-08 17:41:23+00:00,,,
apache/jena,jena-4.4.0,2022-01-30 15:02:51+00:00,,,
apache/hadoop-hdfs,release-0.21.0,2010-08-20 22:44:44+00:00,,,
apache/hbase-native-client,,,,,
apache/shardingsphere-elasticjob-ui,3.0.1,2021-12-26 11:10:52+00:00,2021-12-26 11:11:02+00:00,3.0.1,https://github.com/apache/shardingsphere-elasticjob-ui/releases/tag/3.0.1
apache/skywalking-agent-test-tool,,,,,
apache/skywalking-satellite,v0.5.0,2021-12-23 07:42:27+00:00,2021-12-23 08:44:42+00:00,0.5.0,https://github.com/apache/skywalking-satellite/releases/tag/v0.5.0
apache/lucene,releases/lucene/9.0.0,2021-12-01 09:20:31+00:00,,,
apache/flink-ml,release-2.0.0,2021-12-30 15:07:41+00:00,,,
apache/echarts-website,v5,2021-01-22 13:07:40+00:00,2021-01-22 13:07:40+00:00,,https://github.com/apache/echarts-website/releases/tag/v5
apache/arrow-julia,v2.2.0,2021-10-29 15:43:31+00:00,2021-10-29 16:16:19+00:00,v2.2.0,https://github.com/apache/arrow-julia/releases/tag/v2.2.0
apache/impala,4.0.0,2021-06-25 13:42:10+00:00,,,
apache/echarts-handbook,,,,,
apache/rocketmq-operator,0.2.1,2020-08-07 08:55:22+00:00,2020-08-07 08:55:22+00:00,rocketmq-operator-0.2.1,https://github.com/apache/rocketmq-operator/releases/tag/0.2.1
